idaItb16 trait type base estimate rel nDau nHerd edc label pubCode
CHEM110029043062 nrk P BV19 112.68 0.3 0 0 0 A Y
CHEM110029043062 vzk P BV19 110.51 0.33 0 0 0 A Y
CHEM110029043062 vzr P BV19 108.53 0.25 0 0 0 A Y
CHEM110029043062 nrr P BV19 107.91 0.26 0 0 0 A Y
CHEM110029043062 raz P BV19 98.56 0.36 0 0 0 A Y
CHEM110060105378 nrk P BV19 119.73 0.08 0 0 0 A Y
CHEM110060105378 vzk P BV19 116.85 0.1 0 0 0 A Y
CHEM110060105378 vzr P BV19 114.49 0.05 0 0 0 A Y
CHEM110060105378 nrr P BV19 113.96 0.06 0 0 0 A Y
CHEM110060105378 raz P BV19 94.26 0.13 0 0 0 A Y
CHEM110087075272 nrk P BV19 112.13 0.26 0 0 0 A Y
CHEM110087075272 vzk P BV19 105.36 0.27 0 0 0 A Y
CHEM110087075272 vzr P BV19 107.73 0.22 0 0 0 A Y
CHEM110087075272 nrr P BV19 108.65 0.22 0 0 0 A Y
CHEM110087075272 raz P BV19 97.67 0.28 0 0 0 A Y
CHEM110088111825 nrk P BV19 108.79 0.39 5 4 17.7 A Y
CHEM110088111825 vzk P BV19 107.26 0.4 5 4 15.86 A Y
CHEM110088111825 vzr P BV19 97.82 0.34 6 3 4.3 A Y
CHEM110088111825 nrr P BV19 107.51 0.35 6 3 4.3 A Y
CHEM110088111825 raz P BV19 105.76 0.45 5 4 15.71 A Y
CHEM110126034024 nrk P BV19 118.99 0 0 0 0 A Y
CHEM110126034024 vzk P BV19 117.64 0 0 0 0 A Y
CHEM110126034024 vzr P BV19 111.88 0 0 0 0 A Y
CHEM110126034024 nrr P BV19 93.04 0 0 0 0 A Y
CHEM110126034024 raz P BV19 99.11 0 0 0 0 A Y
CHEM110140053681 nrk P BV19 120.43 0.03 0 0 0 A Y
CHEM110140053681 vzk P BV19 117.43 0.04 0 0 0 A Y
CHEM110140053681 vzr P BV19 122.08 0.02 0 0 0 A Y
CHEM110140053681 nrr P BV19 108.52 0.02 0 0 0 A Y
CHEM110140053681 raz P BV19 94.18 0.05 0 0 0 A Y
CHEM110141224264 nrk P BV19 108.08 0.33 8 2 9.08 A Y
CHEM110141224264 vzk P BV19 109.18 0.35 8 2 8.89 A Y
CHEM110141224264 vzr P BV19 111.91 0.28 7 1 3 A Y
CHEM110141224264 nrr P BV19 106.35 0.29 7 1 3 A Y
CHEM110141224264 raz P BV19 101.42 0.4 8 2 8.87 A Y
CHEM110176154147 nrk P BV19 107.83 0.42 15 11 22.29 CH Y
CHEM110176154147 vzk P BV19 103.91 0.45 15 11 21.21 CH Y
CHEM110176154147 vzr P BV19 100.92 0.38 18 5 9.66 CH Y
CHEM110176154147 nrr P BV19 107.37 0.39 18 5 9.65 CH Y
CHEM110176154147 raz P BV19 95.97 0.51 15 11 21.06 CH Y
CHEM110177111262 nrk P BV19 108.1 0.32 2 1 8.47 A Y
CHEM110177111262 vzk P BV19 110.06 0.33 2 1 7.4 A Y
CHEM110177111262 vzr P BV19 100.08 0.29 3 1 2.01 A Y
CHEM110177111262 nrr P BV19 103.96 0.3 3 1 2.01 A Y
CHEM110177111262 raz P BV19 107 0.35 2 1 7.31 A Y
CHEM110201286409 nrk P BV19 110.42 0.32 1 2 3.44 A Y
CHEM110201286409 vzk P BV19 100.51 0.32 1 2 3.11 A Y
CHEM110201286409 vzr P BV19 105.52 0.3 1 1 0.92 A Y
CHEM110201286409 nrr P BV19 109 0.3 1 1 0.92 A Y
CHEM110201286409 raz P BV19 90.83 0.34 1 2 3.08 A Y
CHEM110213111782 nrk P BV19 113.32 0.19 0 0 0 A Y
CHEM110213111782 vzk P BV19 115.17 0.21 0 0 0 A Y
CHEM110213111782 vzr P BV19 115.83 0.15 0 0 0 A Y
CHEM110213111782 nrr P BV19 109.96 0.15 0 0 0 A Y
CHEM110213111782 raz P BV19 97.32 0.22 0 0 0 A Y
CHEM110233097295 nrk P BV19 111.93 0.22 0 0 0 A Y
CHEM110233097295 vzk P BV19 112.26 0.23 0 0 0 A Y
CHEM110233097295 vzr P BV19 104.94 0.18 0 0 0 A Y
CHEM110233097295 nrr P BV19 106.87 0.18 0 0 0 A Y
CHEM110233097295 raz P BV19 101.25 0.25 0 0 0 A Y
CHEM110262085522 nrk P BV19 118.64 0.14 0 0 0 A Y
CHEM110262085522 vzk P BV19 119.29 0.16 0 0 0 A Y
CHEM110262085522 vzr P BV19 116.8 0.11 0 0 0 A Y
CHEM110262085522 nrr P BV19 107.39 0.11 0 0 0 A Y
CHEM110262085522 raz P BV19 96.5 0.18 0 0 0 A Y
CHEM110262113812 nrk P BV19 117.75 0.31 0 0 0 A Y
CHEM110262113812 vzk P BV19 109.43 0.32 0 0 0 A Y
CHEM110262113812 vzr P BV19 103.11 0.28 0 0 0 A Y
CHEM110262113812 nrr P BV19 111.84 0.28 0 0 0 A Y
CHEM110262113812 raz P BV19 98.38 0.35 0 0 0 A Y
CHEM110284113999 nrk P BV19 120.44 0.04 0 0 0 A Y
CHEM110284113999 vzk P BV19 120.19 0.04 0 0 0 A Y
CHEM110284113999 vzr P BV19 121.54 0.03 0 0 0 A Y
CHEM110284113999 nrr P BV19 108.46 0.03 0 0 0 A Y
CHEM110284113999 raz P BV19 94.14 0.05 0 0 0 A Y
CHEM110362028184 nrk P BV19 107.58 0.31 3 2 2.66 A Y
CHEM110362028184 vzk P BV19 108 0.33 3 2 2.67 A Y
CHEM110362028184 vzr P BV19 105.7 0.27 0 0 0 A Y
CHEM110362028184 nrr P BV19 104.9 0.27 0 0 0 A Y
CHEM110362028184 raz P BV19 107.06 0.37 3 2 2.67 A Y
CHEM110405033779 nrk P BV19 114.87 0.26 5 3 4.05 A Y
CHEM110405033779 vzk P BV19 117.15 0.29 5 3 4.09 A Y
CHEM110405033779 vzr P BV19 112.69 0.19 0 0 0 A Y
CHEM110405033779 nrr P BV19 107.42 0.2 0 0 0 A Y
CHEM110405033779 raz P BV19 103.66 0.32 5 3 4.09 A Y
CHEM110409049981 nrk P BV19 99.36 0.3 3 2 2.46 A Y
CHEM110409049981 vzk P BV19 98.33 0.31 3 2 2.48 A Y
CHEM110409049981 vzr P BV19 98.51 0.27 0 0 0 A Y
CHEM110409049981 nrr P BV19 101.22 0.28 0 0 0 A Y
CHEM110409049981 raz P BV19 99.19 0.33 3 2 2.48 A Y
CHEM110418073427 nrk P BV19 105.73 0.44 9 1 25.81 A Y
CHEM110418073427 vzk P BV19 108.06 0.47 9 1 23.41 A Y
CHEM110418073427 vzr P BV19 103.19 0.37 12 1 3.26 A Y
CHEM110418073427 nrr P BV19 105.1 0.39 12 1 3.25 A Y
CHEM110418073427 raz P BV19 102 0.54 9 1 23.14 A Y
CHEM110500111853 nrk P BV19 110.9 0.25 0 0 0 A Y
CHEM110500111853 vzk P BV19 104.35 0.26 0 0 0 A Y
CHEM110500111853 vzr P BV19 100.21 0.21 0 0 0 A Y
CHEM110500111853 nrr P BV19 107.23 0.21 0 0 0 A Y
CHEM110500111853 raz P BV19 95.4 0.27 0 0 0 A Y
CHEM110520055489 nrk P BV19 119.01 0.28 1 1 0.9 A Y
CHEM110520055489 vzk P BV19 111.83 0.29 1 1 0.91 A Y
CHEM110520055489 vzr P BV19 103.68 0.27 0 0 0 A Y
CHEM110520055489 nrr P BV19 107.48 0.27 0 0 0 A Y
CHEM110520055489 raz P BV19 105.21 0.29 1 1 0.91 A Y
CHEM110653034740 nrk P BV19 110.14 0.21 2 1 4.86 A Y
CHEM110653034740 vzk P BV19 107.14 0.23 2 1 4.56 A Y
CHEM110653034740 vzr P BV19 104.43 0.18 3 1 2.44 A Y
CHEM110653034740 nrr P BV19 106.37 0.18 3 1 2.44 A Y
CHEM110653034740 raz P BV19 100.97 0.27 2 1 4.51 A Y
CHEM110706029730 nrk P BV19 117.88 0.24 0 0 0 A Y
CHEM110706029730 vzk P BV19 112.5 0.26 0 0 0 A Y
CHEM110706029730 vzr P BV19 108.77 0.21 0 0 0 A Y
CHEM110706029730 nrr P BV19 110 0.21 0 0 0 A Y
CHEM110706029730 raz P BV19 99.39 0.27 0 0 0 A Y
CHEM110717020252 nrk P BV19 114.32 0.12 0 0 0 A Y
CHEM110717020252 vzk P BV19 114.51 0.13 0 0 0 A Y
CHEM110717020252 vzr P BV19 114.5 0.09 0 0 0 A Y
CHEM110717020252 nrr P BV19 108.09 0.1 0 0 0 A Y
CHEM110717020252 raz P BV19 99.4 0.15 0 0 0 A Y
CHEM110943064181 nrk P BV19 118.53 0.32 1 1 4.6 A Y
CHEM110943064181 vzk P BV19 111.49 0.32 1 1 3.97 A Y
CHEM110943064181 vzr P BV19 111.63 0.29 1 1 0.8 A Y
CHEM110943064181 nrr P BV19 116.46 0.3 1 1 0.8 A Y
CHEM110943064181 raz P BV19 91.29 0.34 1 1 3.91 A Y
CHEM110966051533 nrk P BV19 108.24 0.44 14 4 26.62 A Y
CHEM110966051533 vzk P BV19 101.94 0.47 14 4 24.49 A Y
CHEM110966051533 vzr P BV19 100.13 0.38 14 4 5.62 A Y
CHEM110966051533 nrr P BV19 107.18 0.39 14 4 5.61 A Y
CHEM110966051533 raz P BV19 95.4 0.53 14 4 24.27 A Y
CHEM111032032036 nrk P BV19 113.31 0.25 0 0 0 A Y
CHEM111032032036 vzk P BV19 110.03 0.26 0 0 0 A Y
CHEM111032032036 vzr P BV19 107.56 0.21 0 0 0 A Y
CHEM111032032036 nrr P BV19 103.74 0.21 0 0 0 A Y
CHEM111032032036 raz P BV19 99.42 0.27 0 0 0 A Y
CHEM111108005230 nrk P BV19 110.6 0.21 0 0 0 A Y
CHEM111108005230 vzk P BV19 110.7 0.23 0 0 0 A Y
CHEM111108005230 vzr P BV19 113.01 0.18 0 0 0 A Y
CHEM111108005230 nrr P BV19 107.26 0.19 0 0 0 A Y
CHEM111108005230 raz P BV19 97.36 0.24 0 0 0 A Y
CHEM111450093381 nrk P BV19 116.64 0.46 0 0 0 A Y
CHEM111450093381 vzk P BV19 106.78 0.53 0 0 0 A Y
CHEM111450093381 vzr P BV19 113.05 0.34 0 0 0 A Y
CHEM111450093381 nrr P BV19 106.37 0.36 0 0 0 A Y
CHEM111450093381 raz P BV19 90.76 0.61 0 0 0 A Y
CHEM111472009841 nrk P BV19 99.73 0.34 4 1 7.11 A Y
CHEM111472009841 vzk P BV19 100.41 0.35 4 1 6.63 A Y
CHEM111472009841 vzr P BV19 96.06 0.32 5 1 1.89 A Y
CHEM111472009841 nrr P BV19 99.13 0.32 5 1 1.89 A Y
CHEM111472009841 raz P BV19 101.89 0.38 4 1 6.56 A Y
CHEM120018816256 nrk P BV19 101.59 0.28 3 2 6.35 A Y
CHEM120018816256 vzk P BV19 109.12 0.31 3 2 5.96 A Y
CHEM120018816256 vzr P BV19 103.73 0.21 3 2 2.5 A Y
CHEM120018816256 nrr P BV19 102.67 0.22 3 2 2.5 A Y
CHEM120018816256 raz P BV19 108.19 0.35 3 2 5.92 A Y
CHEM120021828420 nrk P BV19 109.16 0.03 1 1 2.61 A Y
CHEM120021828420 vzk P BV19 106.01 0.04 1 1 2.44 A Y
CHEM120021828420 vzr P BV19 107.29 0.02 1 1 0.88 A Y
CHEM120021828420 nrr P BV19 108.17 0.02 1 1 0.88 A Y
