idaItb16 trait type base estimate rel nDau nHerd edc label pubCode
CHEM110029043062 vzk P BV19 110.54 0.33 0 0 0 A Y
CHEM110029043062 raz P BV19 98.37 0.36 0 0 0 A Y
CHEM110029043062 nrr P BV19 108.04 0.26 0 0 0 A Y
CHEM110029043062 nrk P BV19 112.84 0.3 0 0 0 A Y
CHEM110029043062 vzr P BV19 108.78 0.25 0 0 0 A Y
CHEM110060105378 vzk P BV19 116.97 0.1 0 0 0 A Y
CHEM110060105378 raz P BV19 94.11 0.13 0 0 0 A Y
CHEM110060105378 nrr P BV19 114.06 0.06 0 0 0 A Y
CHEM110060105378 nrk P BV19 119.86 0.08 0 0 0 A Y
CHEM110060105378 vzr P BV19 114.71 0.05 0 0 0 A Y
CHEM110087075272 vzk P BV19 105.48 0.27 0 0 0 A Y
CHEM110087075272 raz P BV19 97.58 0.28 0 0 0 A Y
CHEM110087075272 nrr P BV19 108.76 0.22 0 0 0 A Y
CHEM110087075272 nrk P BV19 112.25 0.26 0 0 0 A Y
CHEM110087075272 vzr P BV19 107.85 0.22 0 0 0 A Y
CHEM110088111825 vzk P BV19 107.34 0.4 5 4 15.86 A Y
CHEM110088111825 raz P BV19 105.7 0.45 5 4 15.71 A Y
CHEM110088111825 nrr P BV19 107.55 0.35 6 3 4.3 A Y
CHEM110088111825 nrk P BV19 108.89 0.39 5 4 17.7 A Y
CHEM110088111825 vzr P BV19 97.85 0.34 6 3 4.3 A Y
CHEM110126034024 vzk P BV19 117.68 0 0 0 0 A Y
CHEM110126034024 raz P BV19 99.02 0 0 0 0 A Y
CHEM110126034024 nrr P BV19 92.96 0 0 0 0 A Y
CHEM110126034024 nrk P BV19 119.21 0 0 0 0 A Y
CHEM110126034024 vzr P BV19 111.97 0 0 0 0 A Y
CHEM110140053681 vzk P BV19 117.48 0.04 0 0 0 A Y
CHEM110140053681 raz P BV19 94.08 0.05 0 0 0 A Y
CHEM110140053681 nrr P BV19 108.69 0.02 0 0 0 A Y
CHEM110140053681 nrk P BV19 120.61 0.03 0 0 0 A Y
CHEM110140053681 vzr P BV19 122.15 0.02 0 0 0 A Y
CHEM110141224264 vzk P BV19 109.33 0.35 8 2 8.89 A Y
CHEM110141224264 raz P BV19 101.32 0.4 8 2 8.87 A Y
CHEM110141224264 nrr P BV19 106.5 0.29 7 1 3 A Y
CHEM110141224264 nrk P BV19 108.29 0.33 8 2 9.08 A Y
CHEM110141224264 vzr P BV19 112.05 0.28 7 1 3 A Y
CHEM110176154147 vzk P BV19 103.93 0.45 15 11 21.21 CH Y
CHEM110176154147 raz P BV19 95.69 0.51 15 11 21.06 CH Y
CHEM110176154147 nrr P BV19 107.54 0.39 18 5 9.65 CH Y
CHEM110176154147 nrk P BV19 108.07 0.42 15 11 22.29 CH Y
CHEM110176154147 vzr P BV19 101 0.38 18 5 9.66 CH Y
CHEM110177111262 vzk P BV19 110.15 0.33 2 1 7.4 A Y
CHEM110177111262 raz P BV19 106.93 0.35 2 1 7.31 A Y
CHEM110177111262 nrr P BV19 104.05 0.3 3 1 2.01 A Y
CHEM110177111262 nrk P BV19 108.2 0.32 2 1 8.47 A Y
CHEM110177111262 vzr P BV19 100.19 0.29 3 1 2.01 A Y
CHEM110201286409 vzk P BV19 100.53 0.32 1 2 3.11 A Y
CHEM110201286409 raz P BV19 90.73 0.34 1 2 3.08 A Y
CHEM110201286409 nrr P BV19 109.02 0.3 1 1 0.92 A Y
CHEM110201286409 nrk P BV19 110.48 0.32 1 2 3.44 A Y
CHEM110201286409 vzr P BV19 105.6 0.3 1 1 0.92 A Y
CHEM110213111782 vzk P BV19 115.35 0.21 0 0 0 A Y
CHEM110213111782 raz P BV19 97.2 0.22 0 0 0 A Y
CHEM110213111782 nrr P BV19 110.09 0.15 0 0 0 A Y
CHEM110213111782 nrk P BV19 113.48 0.19 0 0 0 A Y
CHEM110213111782 vzr P BV19 116.04 0.15 0 0 0 A Y
CHEM110233097295 vzk P BV19 112.4 0.23 0 0 0 A Y
CHEM110233097295 raz P BV19 101.22 0.25 0 0 0 A Y
CHEM110233097295 nrr P BV19 106.87 0.18 0 0 0 A Y
CHEM110233097295 nrk P BV19 111.98 0.22 0 0 0 A Y
CHEM110233097295 vzr P BV19 105.21 0.18 0 0 0 A Y
